id,rawText,cleanText,emojiCount,followers,following,hashtagCount,urlCount,tweetCount,verified,human
461277906,"【今夜はReMG！】
■11/17(水) 20:00～生配信
『THE REBEL’S eMPIRE』

KOUHEIが出演しマス🎲

#Twitch 内の #AmazonMusicJP にて生配信でお届け🎮⚡️

https://t.co/ii1SxRgyR8 https://t.co/mQUwJ8ijTN YON EXPO'21
開催まであと10日🌏✨

特設サイトにGENのメッセージを
掲載しましたのご覧ください〜🌟

https://t.co/msqUPVVENu 【緊急生配信決定！】
■11/18(木) 20:00〜
『YON EXPO'21 開催直前！緊急生配信！』

いよいよ来週末に開催が迫った
YON EXPOに向けて生配信決定📡⚡️

ぜひご覧ください〜🌏✨
https://t.co/Q5t5ZF4kIr https://t.co/F5cddPznQU 【今夜はヨルジュウ！】
■11/9(火) 22:00～放送&amp;配信
SSTV『#スペシャのヨルジュウ♪』

GENがVJで出演しマス🕺✨
ぜひご覧ください～！

LINE LIVE配信はコチラ📲
https://t.co/knC5dMt2PA https://t.co/6wD0M6QAZQ 【タイムテーブル公開！】
■12/31(金) 幕張メッセ
『COUNTDOWN JAPAN 21/22』

04 Limited Sazabysは
大晦日の17:50〜出演です🪐✨

年末は幕張でお待ちしてマス🚀
https://t.co/8Psuc7eQE1 https://t.co/x5dgMLNXVO 【長崎！ライブ終了〜！】
■11/6(土) 出島メッセ長崎
『BLAZE UP NAGASAKI 2021』

久しぶりの長崎🔥
呼んでくれたSHANK🔥
ありがとうございました〜🔥

📸@yamada_mphoto https://t.co/bg5Gy7JSdQ 【明日は長崎！】
■11/6(土) 出島メッセ長崎
『BLAZE UP NAGASAKI 2021』

SHANK主催のブレイズアップ🔥
一緒に楽しみましょう～～！

https://t.co/7NXm4xvL4d https://t.co/TCkQ49h9Sk RT @natalie_mu: 【ライブレポート】Vaundy×04 Limited Sazabys、両者初の日比谷野音で伝説作り上げた秋雨の一夜（写真19枚）
https://t.co/uUq5U2Oyi3

#Vaundy #04LimitedSazabys #ライブナタリ… 【レディクレ！】
■12/28(火) 京セラドーム
『FM802 ROCK FESTIVAL RADIOCRAZY presents THE GRAND SLAM』

今年は京セラドームで開催🔥

04 Limited Sazabysは
最終日に出演しマス！

詳細はイベントHPへ⚾️
https://t.co/l0NiZKfmJ6 https://t.co/R4IW7wYccJ 【一般発売スタート！】
■11/27(土)28(日) 幕張メッセ
『YON EXPO’21』

いよいよ今月末に開催🌏✨
本日よりチケット一般発売開始🎫

特効や演出を盛り込んだ
フォーリミ流のエンタメLIVE💥

ぜひお待ちしてマス！

https://t.co/INj5H4PDET
#YONEXPO https://t.co/0xSUmc0Ux2 【ライブ終了！】
■10/31(日) 日比谷公園大音楽堂
『ライブナタリー “Vaundy × 04 Limited Sazabys”』

04 Limited Sazabys初の野音！
ありがとうございました☔️✨

📸@yamada_mphoto https://t.co/gMfMYBNTxq ",remg the rebel s empire kouhei twitch amazonmusicjp yon expo gen yon expo yon expo amp sstv gen vj line live countdown japan limited sazabys blaze up nagasaki shank yamada mphoto blaze up nagasaki shank natalie mu vaundy limited sazabys vaundy limitedsazabys fm rock festival radiocrazy presents the grand slam limited sazabys hp yon expo live yonexpo vaundy limited sazabys limited sazabys yamada mphoto,26,380615,2912,4,18,11079,True,0
808280162,"かーsmg火力すげーけどまだ感度に慣れない... #PS4share

https://t.co/23DRXA0xKp https://t.co/pbG1GTbwTj @lrnOmu 珍しく、立ち回りに頭を使った回だった🤓 @lrnOmu 昨日は1時間ほどで400ぐらい？
盛れたからな
この調子や @lrnOmu プラ3 行こう @lrnOmu 活躍してた！！ @m_1O_m うまりの事だからこれは、フラグだな😏 @m_1O_m 沢山引く？😉 @m_1O_m ほしい！ また行くべき大阪の店 https://t.co/9Y92p4fZFn ごーとぅーとらべる始まったら〜どっか行かないと〜 ゲームは基本ソロなんだよなw ",smg ps share lrnomu lrnomu lrnomu lrnomu m o m m o m m o m w,3,23372,341,1,3,145744,False,0
1575510320,"RT @saadal3jmi: الحمدلله على قرب عودة النواب السابقين وبعض الشباب الى وطنهم والشكر لصاحب السمو والامنيات ببداية مرحله سياسيه جديده لما فيه… RT @M_Jarallah: مساء الخير والتوافيق والسعاده للجميع وعلى الجميع 🙏🏼🤍 RT @DrHuzam: #ذكري_البيعه_السابعه
حفظك الله https://t.co/lPTHomp1o4 RT @sattamalsahli: #ابتسم RT @DrHuzam: 1️⃣
ساتحدث في هذه التغريدات عن
أعداء النجاح ومحاربة المتميز.

#المجتمع_الوظيفي RT @DrHuzam: وتعتبر #تركمنستان، مهد خيول #الأكحل_تيكي #AkhalTeke فخر الخيول العالمية، حيث يعتبر الشعار الوطني للبلاد، كما يمتاز بالسرعة و ا… RT @DrAlnashwan: قبل سنتين ونتيجة لتداعيات سيطرة حزب الله الإيراني المطلقة على الدولة اللبنانية طالبت بإعتبار لبنان ""خسارة حرب"" ضمن معاركنا… RT @Dr_alwasmi: شعب الكويت الحبيب

ابتسموا https://t.co/kzJA0cqPRI RT @aliktv: البعض يطالب بالعفو الشامل وإخونجي لا يقل عن #قرداحي يعادي #السعودية ويدعم #الحوثى زودهم بإحداثيات لقتل المدنيين ودائماً يهاجم… RT @DrHuzam: اليوم كتبت صحيفة بلومبيرغ مقالا في القسم المالي عنوانه:
لقد مر وقت طويل على نوم جيل الالفية بملابسهم. وان  #الاحتراق_الوظيفي… RT @7alm1348: #صباحيات_ صباح الخير للذين يظنون أنّ العالم بأكمله مغلق في طريقهم, للذين لا يعلمون أنّ بعد كل ضيق متّسع، لا تضيقوا، الله بالق… ",saadal jmi m jarallah drhuzam sattamalsahli drhuzam drhuzam akhalteke dralnashwan dr alwasmi aliktv drhuzam alm,3,120374,108941,1,2,176363,False,0
1113769100,"RT @hotkot445: أسعدكم الرحمن بجمعة
لا يضيق لكم فيها صدرا
ولا يخيب لكم بها أمرا 
وأن يجعل لكم بكل خطوة توفيقا ويسرا
  طابت جمعتك بكل خير RT @hotkot445: 💮💮﷽💮💮
  ﴿إِنَّ اللَّهَ وَمَلَائِكَتَهُ يُصَلُّونَ عَلَى
النَّبِيِّ يَا أَيُّهَاالَّذِينَ آَمَنُوا صَلُّوا
عَلَيْهِ وَسَلِّمُ… RT @dares8s8: #شطر

تكفى عن دنيتي لا تغيب
خلّك هنا جنبي و قريب
أنا بعـدك ضـايع  غريب
يا هل ترى كلامي عيب؟؟؟؟

#س_ح RT @dares8s8: الجو غيم و خلّــى المشاعر غير
احساس داخلي مقدر اوصفه
أسألك يا الله بـ هالدنيا كل خير
و ترحم من كان الطيّب موقفــه

#جدة_الآن RT @dares8s8: #الاهلي_و_الاتحاد https://t.co/4V7iApWBBy RT @dares8s8: #امطار_جده
المطر رش و القلب داخلـي مرشوش
وين انت يا ساكــن بعيني و قلبي

حب غير حبك يعتبر تالف ومغشوش
يالله ارحمه من نوّر حيا… @rojeta_ امين يارب RT @rojeta_: @100rahal100 اللهم امييين اي بنت إنتشرت صورتهاِ بالنت
الطريقة
https://t.co/XcFUpazVLj
 الحجب
https://t.co/dAYMlu2z3w  
من ستر مسلماً في الدنيا ستره الله يوم القيامه يارب سلّمنا من أذى الدنيا وحُزن الأيام"". اللهم طمأنينه،لا سقوط ولا اختلال ولا تعثّر. ",hotkot hotkot dares s dares s dares s dares s rojeta rojeta rahal,4,73778,77628,0,3,72115,False,0
973224960,RT @koume1959: 連休明けの2日間をかけて九州・沖縄の各地及び東京からの担当者を集めての会議を長崎県で開いた。長崎県がホスト役でオレはいわばその総元締めである。いちおう担当者がいてかなり早い段階から準備をしていたのだが次第に雲行きが怪しくなりどうしようと心配してたら… ,koume,0,26847,2219,0,0,542,False,0
194908659,"Auto verwoest door brand in Borne https://t.co/nRJtdhlecY Lange file door aanrijding op de A1 bij Deurningen https://t.co/BoWO5q8bna Verkeershinder door aanrijding op de Oostweg in Enschede, verkeer omgeleid https://t.co/5EP0AgIGLC Brandweer rukt uit voor industriebrand in Haaksbergen https://t.co/M1NSPT1t0K UPDATE (video): Gaslek na brand bij hotel in centrum Almelo, gasten elders opgevangen https://t.co/45MqXiihvs UPDATE: Gaslek na brand bij hotel in centrum Almelo, gasten veilig buiten https://t.co/X1f35DQMsM Brand bij Hotel in centrum Almelo https://t.co/4apxvlSnRe Veel schade bij ongeval in Weerselo https://t.co/Qy0LoVSZe0 Opnieuw veel schade bij aanrijding industrieterrein Oldenzaal https://t.co/D4ghGA5ya1 Fietser gewond bij aanrijding in Hengelo https://t.co/J1WMwc7PvE UPDATE: Aanhouding in onderzoek moordzaak Daan Mellée uit Enschede https://t.co/HJRyK0JKvL ",auto verwoest door brand in borne lange file door aanrijding op de a bij deurningen verkeershinder door aanrijding op de oostweg in enschede verkeer omgeleid brandweer rukt uit voor industriebrand in haaksbergen update video gaslek na brand bij hotel in centrum almelo gasten elders opgevangen update gaslek na brand bij hotel in centrum almelo gasten veilig buiten brand bij hotel in centrum almelo veel schade bij ongeval in weerselo opnieuw veel schade bij aanrijding industrieterrein oldenzaal fietser gewond bij aanrijding in hengelo update aanhouding in onderzoek moordzaak daan mell e uit enschede,0,106073,990,0,11,86647,False,0
17187236,"Have you ever wondered how many people it takes to pull a horse out of a hole? 🐎 We'll give you a hint: it's a lot! https://t.co/cUar0sFUwx Say hello to the newest member of Team 12, Scott McDonnell! https://t.co/xmsZSvgI9X Yes, a parasite that enters people through their bare feet can be found in the U.S. While most people infected with the parasite don’t experience any symptoms, infection can be deadly for others. Learn more from the @VerifyThis team. https://t.co/PDTqs9r7cs A financial expert talks with the Today in AZ team about some tips to help improve your finances. https://t.co/LlknmezNZA RT @brahmresnik: CENSURE IMPACT 
▶️Gosar's now a member of very small club no one wants to join. 
▶️Loses only committee seats, on House Ov… The U.S. Occupational Safety and Health Administration has announced that it will suspend ""implementation"" and ""enforcement"" of the Biden administration's vaccine and testing mandates at private workplaces. 
 https://t.co/xxlJZVdTpD RT @brahmresnik: BREAKING Arizona Republican Congressman Paul Gosar of Flagstaff is censured by House of Representatives, on 223-207 vote.… RT @JoshSandersTV: RIGHT NOW: MCSO and the community are holding a fundraiser for fallen LT. Chad Brackman outside of MCSO HQ near 5th and… RT @ColleenSikora: Hey, #Arizona - Who has had a package stolen by a porch pirate recently? Would like to talk with you this afternoon/even… The victim's girlfriend told Glendale police he was trying to buy pills from Elijah Hawkins before the suspect allegedly fired multiple gunshots into their apartment, court records show. https://t.co/hG8W7vHvYZ La Cámara de Representantes votó a favor de censurar al republicano Paul Gosar debido a un polémico video violento que publicó en redes sociales a principios del mes.  https://t.co/cpXkK0cr6o ",have you ever wondered how many people it takes to pull a horse out of a hole we ll give you a hint it a lot say hello to the newest member of team scott mcdonnell yes a parasite that enters people through their bare feet can be found in the u s while most people infected with the parasite don t experience any symptoms infection can be deadly for others learn more from the verifythis team a financial expert talks with the today in az team about some tips to help improve your finances brahmresnik censure impact gosar now a member of very small club no one wants to join loses only committee seats on house ov the u s occupational safety and health administration has announced that it will suspend implementation and enforcement of the biden administration vaccine and testing mandates at private workplaces brahmresnik breaking arizona republican congressman paul gosar of flagstaff is censured by house of representatives on vote joshsanderstv right now mcso and the community are holding a fundraiser for fallen lt chad brackman outside of mcso hq near th and colleensikora hey arizona who has had a package stolen by a porch pirate recently would like to talk with you this afternoon even the victim girlfriend told glendale police he was trying to buy pills from elijah hawkins before the suspect allegedly fired multiple gunshots into their apartment court records show la c mara de representantes vot a favor de censurar al republicano paul gosar debido a un pol mico video violento que public en redes sociales a principios del mes,3,221320,8814,1,7,421316,True,0
456177793,"yozlaşmış fayton krallığı yıkıldı. ancak hayırsız adanın köpeklerinden sonra atları da şimdi artık birer hayalet.

“tek bir damla kötülük, en soylu varlığı bile lekeliyor işte.”

140journos'tan ""hayırsız ada"" şimdi youtube'da: https://t.co/Qu2Vj1LwLx https://t.co/xAmIzAgx9h @esdnpor ""adalar’da ortaya çıkan at vebası yüzünden bir gecede bütün atlar itlaf edilir. aynı gece faytoncuların başı, kardeşi tarafından gizlice öldürülür. amacı, yıkılacak olan fayton krallığının mirasına konmaktır."" https://t.co/AQfVbQI9kk RT @140journos: 🚨 yeni bölüm

istanbul’un prens adaları’ndaki yozlaşmış fayton krallığı geride soru işaretleri bırakarak yıkılır.

atların… RT @140journos: “tek bir damla kötülük, en soylu varlığı bile lekeliyor işte.” -shakespeare

140journos'un yeni bölümü ""hayırsız ada"" sadec… “tek bir damla kötülük, en soylu varlığı bile lekeliyor işte.” -shakespeare

140journos'un yeni bölümü ""hayırsız ada"" sadece youtube'da: https://t.co/rjAMlIZpWm https://t.co/iDAgfkJWJk 🚨 yeni bölüm

istanbul’un prens adaları’ndaki yozlaşmış fayton krallığı geride soru işaretleri bırakarak yıkılır.

atların özgürleşmesi uğruna başlayan mücadelenin sonunda yüzlerce at, şaibeli şekilde ortadan kaybolmuştur.

140journos’tan “hayırsız ada”
https://t.co/Qu2Vj1LwLx şarkıları ve danslarıyla türkiye’de pop müziğe özlenen ruhunu bir anda geri getiren edis, şöhretin ve endüstrinin kendisi için hazırladığı sürprizlerle yüzleşir.

140journos prodüksiyonuyla ""starlight"" 30 eylül'de netflix'te.

https://t.co/1gyggvPAbR
@netflixturkiye
@edisgorgulu https://t.co/sMjtSjOATt -sen aşırı derecede sevimli bi’şeysin...
+maşallah hocam.

140journos çizgi filmleri.
bölüm 3. maşallah hocam.

mahkeme tutanakları üzerinden adnan oktar’ın bir günü.

şimdi youtube’da: https://t.co/XP0DjNs93u https://t.co/phDf0JUKFO aylarca süren duruşmalar, yaşananların sadece bir kısmını ortaya çıkartabildi.

mahkeme tutanakları üzerinden adnan oktar’ın bir günü.

140journos çizgi filmleri.
bölüm 3.
“maşallah hocam”
https://t.co/QlZXGWTYFp 🚨yeni bölüm

kurdukları şantaj ve tehdit ağıyla varlığını onlarca yıl sürdürebilen adnan oktar ve suç örgütü, 2018'de çengelköy'deki o meşhur villaya yapılan baskınla çökertildi. https://t.co/1i3ALdI34Q istanbul, uzun süredir bitmek bilmeyen bir şantiye mezarlığından ibaret. fikirtepe en görünür örneklerden olsa da, şehrin birçok yerinde durum benzer. burası maltepe gülsuyu.

inşaat furyasıyla palazlanan türk tipi kapitalizm.

140journos’tan “das kapital”
https://t.co/Qnchv4Haf6 https://t.co/VVNNu37yG5 ",yozla m fayton krall y k ld ancak hay rs z adan n k peklerinden sonra atlar da imdi art k birer hayalet tek bir damla k t l k en soylu varl bile lekeliyor i te journos tan hay rs z ada imdi youtube da esdnpor adalar da ortaya kan at vebas y z nden bir gecede b t n atlar itlaf edilir ayn gece faytoncular n ba karde i taraf ndan gizlice ld r l r amac y k lacak olan fayton krall n n miras na konmakt r journos yeni b l m istanbul un prens adalar ndaki yozla m fayton krall geride soru i aretleri b rakarak y k l r atlar n journos tek bir damla k t l k en soylu varl bile lekeliyor i te shakespeare journos un yeni b l m hay rs z ada sadec tek bir damla k t l k en soylu varl bile lekeliyor i te shakespeare journos un yeni b l m hay rs z ada sadece youtube da yeni b l m istanbul un prens adalar ndaki yozla m fayton krall geride soru i aretleri b rakarak y k l r atlar n zg rle mesi u runa ba layan m cadelenin sonunda y zlerce at aibeli ekilde ortadan kaybolmu tur journos tan hay rs z ada ark lar ve danslar yla t rkiye de pop m zi e zlenen ruhunu bir anda geri getiren edis hretin ve end strinin kendisi i in haz rlad s rprizlerle y zle ir journos prod ksiyonuyla starlight eyl l de netflix te netflixturkiye edisgorgulu sen a r derecede sevimli bi eysin ma allah hocam journos izgi filmleri b l m ma allah hocam mahkeme tutanaklar zerinden adnan oktar n bir g n imdi youtube da aylarca s ren duru malar ya ananlar n sadece bir k sm n ortaya kartabildi mahkeme tutanaklar zerinden adnan oktar n bir g n journos izgi filmleri b l m ma allah hocam yeni b l m kurduklar antaj ve tehdit a yla varl n onlarca y l s rd rebilen adnan oktar ve su rg t de engelk y deki o me hur villaya yap lan bask nla kertildi istanbul uzun s redir bitmek bilmeyen bir antiye mezarl ndan ibaret fikirtepe en g r n r rneklerden olsa da ehrin bir ok yerinde durum benzer buras maltepe g lsuyu in aat furyas yla palazlanan t rk tipi kapitalizm journos tan das kapital,3,315944,65,0,14,70658,True,0
92985467,"過去のアルバムを聞いてたのだが
いいアルバムだなと思った

Apple Music： https://t.co/78zAYMBcEt

Spotify： https://t.co/rb6pMKvAI4 https://t.co/GyjwnqPwjK 僕がずっと前から思ってる事を話そうか https://t.co/nAXo9tmRyX @SHISOMETRY ぼやけ というより滲みって言うのかな
ぼやけだと普通に小さい画像をめっちゃ拡大した時みたいなイメージじゃない？
そうじゃなくてドットが滲んで、かつ鮮明だった @sonochanreal なっつ @Ayaka_Gaming 今のゲームを8Kでやりたい！という事ではなくて、
アナログテレビの走査線を再現するのには8K必要だから、現状まだニッチな存在の8Kがもっと普及したらきっと走査線を再現するフィルターなりなんなりが(以下略)という事です 4時44分(2010年の曲)

オートフォーカスが大暴れしている https://t.co/rqPIMiQH8S heavenly blue (2009年の曲) https://t.co/0RlIxFb4Lo @chihaya_totoro 他の曲もいい曲あるから聞いてみてね @amatoki_ このナイキ最近着てない @24shin_n 残響と天ノ弱にはその成分ないとは思ってるけども 迷妄少年と小世界
残響
狂者の行進
天ノ弱 https://t.co/pFjx7aK5m8 ",apple music spotify shisometry sonochanreal ayaka gaming k k k heavenly blue chihaya totoro amatoki shin n,0,141728,37148,0,7,15980,True,0
1375507088,"@elleostillitano Tremendo, acá con un poquito de estudio te hiciste 1000 🤷🏻‍♂️ 😏 @elleostillitano Amiga para que súmate a las inversiones y vos sos tu propio suggar @juanmaccolo Me pareció raro que te encariñes por eso jajaja 🥵 @juanmaccolo 👀 @elleostillitano @maxzuazoo Hay solo aguas minerales y levite de manzana @elleostillitano Obvio amiga acá tengo bastantes por? @elleostillitano Mira vos @Saamuellopez Samuel yo te seguía desde cuando tenías 20 mil seguidores en Instagram te amo ❤️ Tik tok : Alan.piris1 https://t.co/kdpuTBtIK6 @elleostillitano @miiguelrguezz Nos tomamos una líneas en ese living @elleostillitano @crismelgaaa @lautiperezg @_FerrariSantino @francomartelot @aalanlucci @Emaagalvan @emanuelfmar Yo ni aparezco qué onda ",elleostillitano tremendo ac con un poquito de estudio te hiciste elleostillitano amiga para que s mate a las inversiones y vos sos tu propio suggar juanmaccolo me pareci raro que te encari es por eso jajaja juanmaccolo elleostillitano maxzuazoo hay solo aguas minerales y levite de manzana elleostillitano obvio amiga ac tengo bastantes por elleostillitano mira vos saamuellopez samuel yo te segu a desde cuando ten as mil seguidores en instagram te amo tik tok alan piris elleostillitano miiguelrguezz nos tomamos una l neas en ese living elleostillitano crismelgaaa lautiperezg ferrarisantino francomartelot aalanlucci emaagalvan emanuelfmar yo ni aparezco qu onda,5,70780,33496,0,1,42952,False,0
