id,rawText,cleanText,emojiCount,followers,following,hashtagCount,urlCount,tweetCount,verified,human
54619276,"RT @nathangoldman: ICYMI, I wrote about anthropologist Nastassja Martin's In the Eye of the Wild (translated by Sophie R. Lewis), a memoir… From @rafiazakaria, on  “Both/And,” a frustrating story of power-adjacency.
https://t.co/9EMElU9YdP The American Southwest has been suffering a drought since the early 2000s. But in this same time, Arizona’s population has boomed, its tourism sector has grown, and its farmers pump more groundwater than ever. This is, quite simply, not sustainable. 
https://t.co/USEHiwWeOU “Mayor Pete” lays the groundwork for an extended cinematic universe of the Buttigieg clan. We may soon be treated to a limited reality series on Apple TV+ chronicling the struggles Chasten and Pete face as new parents scraping by in the beltway. 
https://t.co/2ugXQnGCGh RT @maxpearl: I wrote about His Name Was Death, a 1947 Mexican sci-fi novel about hyper-intelligent mosquitoes who farm the human race for… RT @jeremylybarger: Good, nuanced piece about Rafael Bernal's 1947 sci-fi novel HIS NAME WAS DEATH, about a drunk who decamps to the rainfo… RT @saradgore: My partner is trying to concentrate and I am annoying him by muttering ""Jesus h christ' at every paragraph of this article a… In 2015, Nastassja Martin was badly injured by a bear. As she writes in a newly translated memoir, she came to see the attack as “intimate beyond anything I could have imagined.” https://t.co/E7R0aFQ4xn From @maxpearl, on Rafael Bernal’s pathbreaking sci-fi novel, which restages the colonial encounter in Mexico's Chiapas rainforest. https://t.co/zHSodzLQ74 More than two thirds of Arizona’s water goes to keeping the desert green year round. But why is one of the nation’s driest states also one of its top producers of spinach, lettuce, cantaloupe?
https://t.co/USEHiwWeOU “The government undermines its own case for doing more when it can’t deliver on its promises. And thus it becomes a self-fulfilling prophecy: we don’t put the time and money into public infrastructure because we don’t believe it can work.”
https://t.co/HC1h3CCdyB ",nathangoldman icymi i wrote about anthropologist nastassja martin in the eye of the wild translated by sophie r lewis a memoir from rafiazakaria on both and a frustrating story of power adjacency the american southwest has been suffering a drought since the early s but in this same time arizona s population has boomed its tourism sector has grown and its farmers pump more groundwater than ever this is quite simply not sustainable mayor pete lays the groundwork for an extended cinematic universe of the buttigieg clan we may soon be treated to a limited reality series on apple tv chronicling the struggles chasten and pete face as new parents scraping by in the beltway maxpearl i wrote about his name was death a mexican sci fi novel about hyper intelligent mosquitoes who farm the human race for jeremylybarger good nuanced piece about rafael bernal sci fi novel his name was death about a drunk who decamps to the rainfo saradgore my partner is trying to concentrate and i am annoying him by muttering jesus h christ at every paragraph of this article a in nastassja martin was badly injured by a bear as she writes in a newly translated memoir she came to see the attack as intimate beyond anything i could have imagined from maxpearl on rafael bernal s pathbreaking sci fi novel which restages the colonial encounter in mexico chiapas rainforest more than two thirds of arizona s water goes to keeping the desert green year round but why is one of the nation s driest states also one of its top producers of spinach lettuce cantaloupe the government undermines its own case for doing more when it can t deliver on its promises and thus it becomes a self fulfilling prophecy we don t put the time and money into public infrastructure because we don t believe it can work,0,62896,1255,0,7,31365,TRUE,1
948891169,"OMG OMG OMG!!!   https://t.co/KxWd7tkXkk @NateRuegger @taylortetreau Exactly lol! We in film are dreamers &amp; doers. Our little sparks of inspiration can literally multiply in the millions &amp; billions if we’re lucky. Think about the impact casting a wider net &amp; casting w/greater awareness can have. Millions. And billions y’all. Please. It is incredibly empowering to all women when we see our reflection before us, raised up. If you have the opportunity please center more dark-skinned women in lead roles, as romantic interests, as the adored &amp; admired — because that IS already a reality &amp; it needs to be more so. If a script calls for a Black woman and all your options look like me, expand them. Especially when original source material describes or depicts a darker skinned woman. And MOST especially when a real life figure with darker skin is to be portrayed. FILM INDUSTRY FOLKS: If you don’t know what the word “colorism” means please look it up. It’s literally maiming women worldwide and we feed it by mostly centering lighter-skinned women on screen. The world NEEDS us to have greater diversity in casting. https://t.co/2E33yx8xNy @RavitejSBrar Thank you 🙏🙏🙏 RT @Karnythia: I understand this kitten's feelings on so many levels https://t.co/pp3WdjJMYT RT @adrianbliss: Inside the Trojan Horse https://t.co/rRCQPGqc9P RT @allareblessed: Ok friends.  For Betty White’s 100th birthday, January 17th,  I want to have a Twitter party honoring her. I’m asking ev… @sciencechick1 @MrT 😂😂😂♥️ ",omg omg omg nateruegger taylortetreau exactly lol we in film are dreamers amp doers our little sparks of inspiration can literally multiply in the millions amp billions if we re lucky think about the impact casting a wider net amp casting w greater awareness can have millions and billions y all please it is incredibly empowering to all women when we see our reflection before us raised up if you have the opportunity please center more dark skinned women in lead roles as romantic interests as the adored amp admired because that is already a reality amp it needs to be more so if a script calls for a black woman and all your options look like me expand them especially when original source material describes or depicts a darker skinned woman and most especially when a real life figure with darker skin is to be portrayed film industry folks if you don t know what the word colorism means please look it up it s literally maiming women worldwide and we feed it by mostly centering lighter skinned women on screen the world needs us to have greater diversity in casting ravitejsbrar thank you karnythia i understand this kitten feelings on so many levels adrianbliss inside the trojan horse allareblessed ok friends for betty white s th birthday january th i want to have a twitter party honoring her i m asking ev sciencechick mrt,7,12544,2351,0,4,10771,TRUE,1
26042984,"@JusAire @JADALAREIGN Gotta respect this on all the levels Imagine tweeting this when you do the tomahawk chop on your porch. https://t.co/T9UPZolVxc Man... https://t.co/XcRCgmEbor RT @Fusion: Hands down the best captain and the legend DPS.

It's our honor to announce that @carpe_ow will be staying with Fusion for 2022… RT @lolesports: 1-0:

@T1LoL with a dominating performance in game 1! #Worlds2021 https://t.co/5rVvuAfCHP Top of the morning. We mobb #T1FIGHTING #T1WIN @T1LoL https://t.co/qxWewMfFyr @ChrisThomas266 Easy 57 is young, bruh My heart goes out to his wife and family. Working with briefly John Kim was a privilege who lead by example.  He mentored so many behind the scene. Rest In Peace. https://t.co/5wb8JoE8Ug Ending Pride Month on the highest of notes with @erinasimon’s journey https://t.co/oyMv6o7hUK RT @T1: The @Flights1_  X @loltyler1  VALORANT stream is still going! 🔥 TAP IN! 
https://t.co/0i4KvOLT6g
https://t.co/MBUelyo8nS https://t.… ",jusaire jadalareign gotta respect this on all the levels imagine tweeting this when you do the tomahawk chop on your porch man fusion hands down the best captain and the legend dps it our honor to announce that carpe ow will be staying with fusion for lolesports t lol with a dominating performance in game worlds top of the morning we mobb t fighting t win t lol christhomas easy is young bruh my heart goes out to his wife and family working with briefly john kim was a privilege who lead by example he mentored so many behind the scene rest in peace ending pride month on the highest of notes with erinasimon s journey t the flights x loltyler valorant stream is still going tap in,1,4652,4369,3,9,54399,FALSE,1
8283682,"RT @FarajAljarih: Minister of Interior, Khaled Mazen, suspends the director of Sebha's security, Mohamed Bashir, from work days after he ap… البلد دي كلها ظلم وقهر، حسبي الله ونعم الوكيل https://t.co/pcfKl6sKth RT @Sudan_tweet: مناشدة للزملاء الصحافيين والمترجمين، بترجمة محتوى التغريدات والاحصائيات الواردة عن مجزرة الانقلابيين اليوم خلال #مليونية17… RT @AJABreaking: عاجل | المتحدث باسم غوتيريش: نحث السلطات العسكرية في #السودان على العودة للمرحلة الانتقالية RT @AmnestyAR: #مصر: أصدرت محكمة طوارئ اليوم أحكامًا بالسجن بحق كل من زياد العليمي، وحسام مؤنس، وهشام فؤاد لمدد تتراوح بين 4 و5 سنوات بسبب… RT @mozabntfeminism: نهيان بن مبارك آل نهيان إعتدى جنسياً على امرأة بريطانيا تدعى كاتلين ماكنامار كانت تعمل معه

والآن هو يفتح مؤتمر تمكين… @MakramSabry لا معرفش عنه حاجة بس هو مش في القضايا دي تبعا لخالد علي، الحكم الصادر على زياد العليمي وهشام وحسام لن يحسب لهم فترة الحبس الاحتياطي اللي تجاوزت السنتين، لأن دي قضية جديدة لم يكونوا محبوسين على ذمتها بعد، وفترة الحبس هي على ذمة قضية "" مجموعة الأمل "" اللي مازالت مفتوحة حتى الآن @Yaseminnn86 لا لأني دي قضية جديدة وهم محبوسين هلو قضية الأمل ٣ سنين في قضية قتل مع سبق الاصرار وزياد العليمي ٥ سنين سجن في قضية مفبركة تقول أن مقالته فيها ايحاءات ضد السلطة الحاكمة !! https://t.co/3HfNUUvR7L ""أوراق باندورا"": شيوخ الإمارات يبنون ملاذهم الخاص لغسل أموالهم  https://t.co/kGconEW67O ",farajaljarih minister of interior khaled mazen suspends the director of sebha security mohamed bashir from work days after he ap sudan tweet ajabreaking amnestyar mozabntfeminism makramsabry yaseminnn ٣ ٥,0,104903,3430,0,3,64998,TRUE,1
311062620,"i mean... https://t.co/vHVt8rUs8a RT @MHarrisPerry: If you haven't already, please take some time to listen to @TheTakeaway's Aging While Queer series! These stories are so… RT @TheTakeaway: Have you tuned into our Aging While Queer series? 

We feature advocates and elders who discuss what it's like to grow old… RT @TheTakeaway: LISTEN 🎧: Israeli Military Surveillance Program Targets &amp; Monitors Palestinians Using Facial Recognition Technology. @lizz… RT @MichaelEMann: ""Do Climate Summits Like #COP26 Really Matter?"" | My interview today with @MHarrisPerry on @WNYC/@PRX/@GBH's @TheTakeaway… RT @A_Day_With_HIV: @TezAnderson on the @NPR program @TheTakeaway, talking about what it’s like to be a long-term survivor of #HIV and kick… RT @RickGuasco: @TezAnderson  on the @NPR, talking about what it’s like to be a long-term survivor of #HIV and kicking ASS (#AIDS survivor… this is what congress SHOULD be doing if they believe the president has committed crimes. https://t.co/QBF5ORGzcn &gt;&gt; https://t.co/udTLS4Bfmm RT @steph_moore: And finally, closer to home, exploring how this isn't ""over"" even when Vax rates are high.
Navajo Nation President Jonatha… RT @MHarrisPerry: Want to share about your experience living with HIV? @TheTakeaway is looking for folks to weigh in! ",i mean mharrisperry if you haven t already please take some time to listen to thetakeaway aging while queer series these stories are so thetakeaway have you tuned into our aging while queer series we feature advocates and elders who discuss what it like to grow old thetakeaway listen israeli military surveillance program targets amp monitors palestinians using facial recognition technology lizz michaelemann do climate summits like cop really matter my interview today with mharrisperry on wnyc prx gbh thetakeaway a day with hiv tezanderson on the npr program thetakeaway talking about what it s like to be a long term survivor of hiv and kick rickguasco tezanderson on the npr talking about what it s like to be a long term survivor of hiv and kicking ass aids survivor this is what congress should be doing if they believe the president has committed crimes gt gt steph moore and finally closer to home exploring how this isn t over even when vax rates are high navajo nation president jonatha mharrisperry want to share about your experience living with hiv thetakeaway is looking for folks to weigh in,1,2951,2197,4,3,70450,TRUE,1
138737516,"RT @center4inquiry: Time once again for your Morning Heresy news roundup, swimming through the sludge of current events so you don’t have t… RT @ScienceSavesOrg: If only more people knew about the giant lizard people behind #vaccine misinformation. 🤔

https://t.co/J3gFCWIBWI RT @center4inquiry: A preview of the latest episode of @KennyBiddle42's series ""Ghosts in the Machine"" for Skeptical Inquirer...

the Michi… Fascinating. https://t.co/wAYlQyMQUN RT @center4inquiry: It’s time once again for your Morning Heresy news roundup for secular-skeptic types, boasting almost as many enlighteni… Religious Preference for Preferred Religions https://t.co/rqgoOSua1y via @center4inquiry RT @ScienceSavesOrg: Care to take part in #history this week? Help us create a National Science Appreciation Day by adding your name to you… RT @ScienceSavesOrg: #ScienceSaves the morning commute, thank you to smartphone technology that gushes music and news from our handheld com… RT @pointofinquiry: Actress and atheist pioneer Julia Sweeney interviews author @DavidGMcAfee on his new book, ""Hi, I'm an Atheist!"", where… RT @center4inquiry: Happy Monday, heretics. It’s time to start a new week, and take a good, long, awkward stare into the bloodshot eyes of… RT @center4inquiry: Hey, you! Nice to see you. Let’s see what’s been going on in this crazy world with The Morning Heresy news roundup. May… ",center inquiry time once again for your morning heresy news roundup swimming through the sludge of current events so you don t have t sciencesavesorg if only more people knew about the giant lizard people behind vaccine misinformation center inquiry a preview of the latest episode of kennybiddle series ghosts in the machine for skeptical inquirer the michi fascinating center inquiry it s time once again for your morning heresy news roundup for secular skeptic types boasting almost as many enlighteni religious preference for preferred religions via center inquiry sciencesavesorg care to take part in history this week help us create a national science appreciation day by adding your name to you sciencesavesorg sciencesaves the morning commute thank you to smartphone technology that gushes music and news from our handheld com pointofinquiry actress and atheist pioneer julia sweeney interviews author davidgmcafee on his new book hi i m an atheist where center inquiry happy monday heretics it s time to start a new week and take a good long awkward stare into the bloodshot eyes of center inquiry hey you nice to see you let s see what s been going on in this crazy world with the morning heresy news roundup may,1,104855,533,3,3,20778,TRUE,1
34875946,"Coincidence #facebookdown happens after whistleblower #FranceHaugen goes on 60 minutes? RT @GarnaMejiaKSL: EGG 🥚 CELLENT... 

B/C we all need a good laugh... RT @photoevans: A good friend and co-worker of mine, Nick Oza, was involved in a serious car crash last Friday.  He is talent photographer… RT @PleaseHelpFind4: The organize Search For Daniel resumes August 28, 2021. 5:45am safety briefing, 6:00-10:am search.
Please, please show… @gabetrujillo feel better soon 🙏 you got this. RT @jkimballcook: Update: turned my talk into a blog post. https://t.co/TvU5JhkndA https://t.co/4b7JRb9UAk 🥰👏💙 https://t.co/iEZb41Pqi4 @JimmyJenkins “Would you like some meat to go with ur veggie patty?” 😰😰😰 please stay safe out there! https://t.co/GqCQLvREKF RT @RussLawAZ: Have a marijuana arrest or conviction you need to expunge? Join me on July 28, 2021 1pm for a free webinar through the @AZBA… Never payed attention to Bookie until this year… I’m a fan 4EVER. https://t.co/77k7eugEb9 ",coincidence facebookdown happens after whistleblower francehaugen goes on minutes garnamejiaksl egg cellent b c we all need a good laugh photoevans a good friend and co worker of mine nick oza was involved in a serious car crash last friday he is talent photographer pleasehelpfind the organize search for daniel resumes august am safety briefing am search please please show gabetrujillo feel better soon you got this jkimballcook update turned my talk into a blog post jimmyjenkins would you like some meat to go with ur veggie patty please stay safe out there russlawaz have a marijuana arrest or conviction you need to expunge join me on july pm for a free webinar through the azba never payed attention to bookie until this year i m a fan ever,8,2657,1328,2,5,8335,TRUE,1
110535179,"RT @picardonhealth: Good thread 🧵on #BCstorms #ClimateChange #EmergencyPreparedness RT @bethanylindsay: FYI: Environment Canada's @armelcastellan drawing a direct link between the rain and floods in B.C. and our mounting cl… Sweet https://t.co/W6vlMJEMkP RT @joshtpm: this is basically transcendent. it took **me** a minute to figure it out and then more minutes to make sure it was really happ… RT @picardonhealth: Obituary: Lee Maracle, Combative #Indigenous Author, Dies at 71. She collected signatures to persuade publishers that p… RT @EricTopol: How long will it last? 
Nobody knows for sure yet.
But let's hope Israel is right again:
""By analyzing the antibody levels,… RT @allieyoung13: Hi everyone. *COVID Message* The message is to stay vigilant and be safe out there because the pandemic isn’t over and va… RT @ElizabethMay: Work on #TMX pipeline never halted despite #COVID outbreaks and wildfires. Now stopped from torrential rains. Keep it shu… RT @JohnVaillant: This is just a practice run #ClimateEmergency #canpoli RT @j_mcelroy: while it's fun to imply i know nothing of bc history it's equally fun to consider the odds of the biggest wildfire disaster… RT @j_mcelroy: you could write thousands of words about British Columbia's floods happening in the aftermath of a world climate conference… ",picardonhealth good thread on bcstorms climatechange emergencypreparedness bethanylindsay fyi environment canada armelcastellan drawing a direct link between the rain and floods in b c and our mounting cl sweet joshtpm this is basically transcendent it took me a minute to figure it out and then more minutes to make sure it was really happ picardonhealth obituary lee maracle combative indigenous author dies at she collected signatures to persuade publishers that p erictopol how long will it last nobody knows for sure yet but let hope israel is right again by analyzing the antibody levels allieyoung hi everyone covid message the message is to stay vigilant and be safe out there because the pandemic isn t over and va elizabethmay work on tmx pipeline never halted despite covid outbreaks and wildfires now stopped from torrential rains keep it shu johnvaillant this is just a practice run climateemergency canpoli j mcelroy while it fun to imply i know nothing of bc history it equally fun to consider the odds of the biggest wildfire disaster j mcelroy you could write thousands of words about british columbia floods happening in the aftermath of a world climate conference,1,2998,595,8,1,12994,TRUE,1
221922759,"@GPDBenTobias @UFCJCLibrarian @uflib @TheAlligator @AlligatorAlumni He always ran it, but I can ask him. RT @LDixon_3: 'Patria y Vida,' up for a Latin Grammy, leads a protest music boom in Latin America https://t.co/QDhXsqQriq via @TimPadgett2… Give these very talented journalists a listen, it’s worth your time. https://t.co/44qOmogLJ5 RT @FitzTrubey: Fulton authority to consider incentives for Ponce City Market expansion https://t.co/QHWgCSa3ep RT @anjalihuynh: Latest for @AJC: A brief look at how the final two Atlanta mayoral candidates plan to address affordable housing, as well… RT @jdcapelouto: The city of Atlanta and Fulton County have struck a deal that officials say could alter the way many people accused of non… RT @KeishaBottoms: Atlanta is officially in the Green Zone for #COVID19. While it makes me personally anxious, I’ve always said we’d follow… RT @jdcapelouto: And so the runoff begins. Felicia Moore announced endorsements from 6 state legislators today, and Andre Dickens is rollin… RT @LDixon_3: he probably should've done a discount double check on that research The Braves fans go WILD when Snitker rolls through downtown Atlanta. https://t.co/VkxUDmMV50 The parade is making it was through downtown Atlanta, causing instant tomahawk chops. https://t.co/A36WQDGLfE ",gpdbentobias ufcjclibrarian uflib thealligator alligatoralumni he always ran it but i can ask him ldixon patria y vida up for a latin grammy leads a protest music boom in latin america via timpadgett give these very talented journalists a listen it s worth your time fitztrubey fulton authority to consider incentives for ponce city market expansion anjalihuynh latest for ajc a brief look at how the final two atlanta mayoral candidates plan to address affordable housing as well jdcapelouto the city of atlanta and fulton county have struck a deal that officials say could alter the way many people accused of non keishabottoms atlanta is officially in the green zone for covid while it makes me personally anxious i ve always said we d follow jdcapelouto and so the runoff begins felicia moore announced endorsements from state legislators today and andre dickens is rollin ldixon he probably should ve done a discount double check on that research the braves fans go wild when snitker rolls through downtown atlanta the parade is making it was through downtown atlanta causing instant tomahawk chops,0,4181,2852,1,5,19338,TRUE,1
262940385,"RT @VisitSeattle: New tab open! Head to @coneandsteiner in Pioneer Square &amp; enjoy Cone &amp; Strawberry, a rich dark chocolate espresso bark, o… RT @joybunson: So proud of my @AthleteAlly  co-chair @lauraclise  who is all about creating and sustaining inclusive communities.  Congratu… So proud of @AthleteAlly for its contribution to @IOCMedia historic new framework, which centers inclusion and non-discrimination for all athletes, including transgender athletes and athletes w/ sex variations. #InclusionMatters https://t.co/VhvJVpspnq RT @AthleteAlly: Sending love and congrats to Athlete Ally board co-chair and @intentionalist_'s @lauraclise on being named an @OLReign leg… RT @intentionalist_: “Being honored as an OL Reign Legend is special, because I love the way that OL Reign uses its platform to increase ac… RT @OLReign: OL Reign Legend: Laura Clise – Founder and CEO of Intentionalist

Read more ➡️ https://t.co/v9UlvgF643 https://t.co/mbKjo6taFW RT @monicakim524: so generous of @SoundersFC &amp; @intentionalist_! Hop on that link to UW to check out the museum &amp; eat delicious food @OffTh… RT @intentionalist_: 2️⃣ Love @SoundersFC *and* @OffTheRezTruck? Write a recommendation for the chance to win an autographed jersey + $100… RT @intentionalist_: We’ve opened a $1200 tab with @SoundersFC at @OffTheRezTruck Cafe at @burkemuseum. 
1️⃣ Enjoy a FREE Indian Taco or Sw… RT @MichFrix: Shop Veteran-owned businesses tomorrow - &amp; every day - thx to @intentionalist_’s curated list of local businesses. Check it o… RT @intentionalist_: It’s #FrybreadFriday and we’ve teamed up with @VisitSeattle to open a $250 tab at @OffTheRezTruck cafe at the @burkemu… ",visitseattle new tab open head to coneandsteiner in pioneer square amp enjoy cone amp strawberry a rich dark chocolate espresso bark o joybunson so proud of my athleteally co chair lauraclise who is all about creating and sustaining inclusive communities congratu so proud of athleteally for its contribution to iocmedia historic new framework which centers inclusion and non discrimination for all athletes including transgender athletes and athletes w sex variations inclusionmatters athleteally sending love and congrats to athlete ally board co chair and intentionalist lauraclise on being named an olreign leg intentionalist being honored as an ol reign legend is special because i love the way that ol reign uses its platform to increase ac olreign ol reign legend laura clise founder and ceo of intentionalist read more monicakim so generous of soundersfc amp intentionalist hop on that link to uw to check out the museum amp eat delicious food offth intentionalist love soundersfc and offthereztruck write a recommendation for the chance to win an autographed jersey intentionalist we ve opened a tab with soundersfc at offthereztruck cafe at burkemuseum enjoy a free indian taco or sw michfrix shop veteran owned businesses tomorrow amp every day thx to intentionalist s curated list of local businesses check it o intentionalist it s frybreadfriday and we ve teamed up with visitseattle to open a tab at offthereztruck cafe at the burkemu,3,5552,1083,2,3,14022,TRUE,1
